Sample Name,True Sample Name,Sample Type,Replicate,Cells/Singlets | Count,Cells/Singlets/a-FLAG_AF647(+) | Count,Cells/Singlets/a-FLAG_AF647(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (Ratio_AF488_AF647),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Count,Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (Ratio_AF488_AF647)
BWL2025-11-24.0001.mqd,Mock,Negative Control,1,30831,1.0,0.00324,3.57,11.5,3.21,0.0,0.0,,,
BWL2025-11-24.0002.mqd,a-His + TSHR,Positive Control,1,25425,4973.0,19.6,10.7,12.5,1.17,480.0,9.65,417.0,103.0,0.25
BWL2025-11-24.0003.mqd,K1-70 + TSHR,Positive Control,1,15758,14235.0,90.3,20.9,7.18,0.34,338.0,2.37,1973.0,128.0,0.065
BWL2025-11-24.0004.mqd,IFNAR2_b5,Positive Control,1,21951,15599.0,71.1,12.3,5.97,0.49,185.0,1.19,576.0,247.0,0.43
BWL2025-11-24.0007.mqd,FLAG + IFNA2R,Negative Control,1,30665,8309.0,27.1,9.19,5.49,0.6,38.0,0.46,15.6,122.0,7.82
BWL2025-11-24.0009.mqd,Mock,Negative Control,2,20315,9.0,0.044,10.3,4.13,0.4,0.0,0.0,,,
BWL2025-11-24.0010.mqd,a-His + TSHR,Positive Control,2,14819,2277.0,15.4,10.1,12.3,1.23,245.0,10.8,385.0,108.0,0.28
BWL2025-11-24.0011.mqd,K1-70 + TSHR,Positive Control,2,16974,13432.0,79.1,14.2,6.76,0.48,237.0,1.76,1790.0,127.0,0.071
BWL2025-11-24.0012.mqd,IFNAR2_b5,Positive Control,2,23337,10722.0,45.9,9.72,5.93,0.61,109.0,1.02,394.0,274.0,0.69
BWL2025-11-24.0015.mqd,FLAG + IFNA2R,Negative Control,2,29777,8454.0,28.4,9.26,5.6,0.6,27.0,0.32,9.25,103.0,11.1
