Sample Name,True Sample Name,Sample Type,Replicate,Cells/Singlets | Count,Cells/Singlets/a-FLAG_AF647(+) | Count,Cells/Singlets/a-FLAG_AF647(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (Ratio_AF488_AF647),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Count,Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (Ratio_AF488_AF647)
PDL1_variant2025-11-25.0001.mqd,pdl1_000,Experimental Sample,1,22941,18200.0,79.3,8.38,4.81,0.57,29.0,0.16,10.1,164.0,16.3
PDL1_variant2025-11-25.0002.mqd,pdl1_030,Experimental Sample,1,23437,22648.0,96.6,21.1,4.36,0.21,35.0,0.15,27.1,162.0,5.98
PDL1_variant2025-11-25.0003.mqd,pdl1_072,Experimental Sample,1,24695,23390.0,94.7,16.1,4.49,0.28,34.0,0.15,23.9,151.0,6.3
PDL1_variant2025-11-25.0004.mqd,pdl1_105,Experimental Sample,1,16409,16335.0,99.5,53.4,5.28,0.099,31.0,0.19,114.0,140.0,1.23
PDL1_variant2025-11-25.0005.mqd,pdl1_144,Experimental Sample,1,13370,13176.0,98.5,42.9,5.98,0.14,68.0,0.52,121.0,148.0,1.23
PDL1_variant2025-11-25.0006.mqd,pdl1_210,Experimental Sample,1,22505,10349.0,46.0,7.66,5.25,0.69,38.0,0.37,11.3,149.0,13.1
PDL1_variant2025-11-25.0007.mqd,pdl1_311,Experimental Sample,1,25076,22036.0,87.9,10.8,4.54,0.42,69.0,0.31,12.8,154.0,12.1
PDL1_variant2025-11-25.0008.mqd,pdl1_445,Experimental Sample,1,22162,21644.0,97.7,21.8,4.48,0.21,32.0,0.15,71.6,157.0,2.2
PDL1_variant2025-11-25.0009.mqd,pdl1_005,Experimental Sample,1,18894,18138.0,96.0,18.6,4.78,0.26,28.0,0.15,50.1,127.0,2.53
PDL1_variant2025-11-25.0010.mqd,pdl1_032,Experimental Sample,1,21225,20338.0,95.8,17.9,4.95,0.28,45.0,0.22,79.2,123.0,1.55
PDL1_variant2025-11-25.0011.mqd,pdl1_076,Experimental Sample,1,24828,3761.0,15.1,3.56,5.08,1.43,36.0,0.96,10.5,139.0,13.2
PDL1_variant2025-11-25.0012.mqd,pdl1_109,Experimental Sample,1,19415,19233.0,99.1,44.6,5.08,0.11,33.0,0.17,150.0,137.0,0.91
PDL1_variant2025-11-25.0013.mqd,pdl1_154,Experimental Sample,1,27586,2793.0,10.1,2.67,4.97,1.86,22.0,0.79,6.23,146.0,23.5
PDL1_variant2025-11-25.0014.mqd,pdl1_225,Experimental Sample,1,20892,11579.0,55.4,5.44,5.66,1.04,94.0,0.81,15.2,152.0,9.98
PDL1_variant2025-11-25.0015.mqd,pdl1_365,Experimental Sample,1,25028,3652.0,14.6,2.06,5.6,2.72,33.0,0.9,6.69,135.0,20.1
PDL1_variant2025-11-25.0016.mqd,pdl1_451,Experimental Sample,1,18775,11153.0,59.4,6.47,5.86,0.91,84.0,0.75,15.3,154.0,10.0
PDL1_variant2025-11-25.0017.mqd,pdl1_006,Experimental Sample,1,18299,17826.0,97.4,22.1,4.91,0.22,46.0,0.26,48.6,131.0,2.7
PDL1_variant2025-11-25.0018.mqd,pdl1_035,Experimental Sample,1,21328,6229.0,29.2,7.88,5.19,0.66,45.0,0.72,8.46,157.0,18.6
PDL1_variant2025-11-25.0019.mqd,pdl1_090,Experimental Sample,1,18949,18616.0,98.2,28.7,4.92,0.17,30.0,0.16,104.0,132.0,1.27
PDL1_variant2025-11-25.0020.mqd,pdl1_112,Experimental Sample,1,20158,19315.0,95.8,15.9,4.96,0.31,29.0,0.15,30.9,139.0,4.49
PDL1_variant2025-11-25.0021.mqd,pdl1_157,Experimental Sample,1,21861,3822.0,17.5,2.49,5.41,2.17,42.0,1.1,10.0,133.0,13.3
PDL1_variant2025-11-25.0022.mqd,pdl1_230,Experimental Sample,1,22381,1127.0,5.04,1.83,7.07,3.87,25.0,2.22,5.35,167.0,31.3
PDL1_variant2025-11-25.0023.mqd,pdl1_373,Experimental Sample,1,20552,19758.0,96.1,16.7,4.79,0.29,35.0,0.18,32.1,132.0,4.11
PDL1_variant2025-11-25.0024.mqd,pdl1_481,Experimental Sample,1,20009,19499.0,97.5,23.0,4.77,0.21,24.0,0.12,42.4,139.0,3.28
PDL1_variant2025-11-25.0025.mqd,pdl1_009,Experimental Sample,1,21475,11920.0,55.5,5.51,5.2,0.94,27.0,0.23,7.14,137.0,19.2
PDL1_variant2025-11-25.0026.mqd,pdl1_039,Experimental Sample,1,21800,4789.0,22.0,7.69,5.17,0.67,29.0,0.61,12.6,154.0,12.2
PDL1_variant2025-11-25.0027.mqd,pdl1_091,Experimental Sample,1,14736,14226.0,96.5,20.8,5.87,0.28,76.0,0.53,64.6,146.0,2.26
PDL1_variant2025-11-25.0028.mqd,pdl1_113,Experimental Sample,1,18314,17988.0,98.2,28.6,4.99,0.17,32.0,0.18,37.1,141.0,3.81
PDL1_variant2025-11-25.0029.mqd,pdl1_159,Experimental Sample,1,21272,20184.0,94.9,15.6,5.0,0.32,90.0,0.45,63.6,151.0,2.38
PDL1_variant2025-11-25.0030.mqd,pdl1_237,Experimental Sample,1,18483,18086.0,97.9,22.6,5.12,0.23,58.0,0.32,56.1,152.0,2.72
PDL1_variant2025-11-25.0031.mqd,pdl1_375,Experimental Sample,1,17104,16963.0,99.2,42.3,5.37,0.13,19.0,0.11,71.4,136.0,1.9
PDL1_variant2025-11-25.0032.mqd,pdl1_497,Experimental Sample,1,19677,19155.0,97.3,19.1,4.75,0.25,27.0,0.14,23.2,142.0,6.12
PDL1_variant2025-11-25.0033.mqd,pdl1_016,Experimental Sample,1,17320,11914.0,68.8,5.99,5.33,0.89,42.0,0.35,10.6,151.0,14.2
PDL1_variant2025-11-25.0034.mqd,pdl1_040,Experimental Sample,1,20487,16583.0,80.9,7.97,4.66,0.59,29.0,0.17,13.2,159.0,12.1
PDL1_variant2025-11-25.0035.mqd,pdl1_096,Experimental Sample,1,18129,17810.0,98.2,25.7,4.64,0.18,34.0,0.19,57.9,136.0,2.36
PDL1_variant2025-11-25.0036.mqd,pdl1_118,Experimental Sample,1,18561,17895.0,96.4,14.0,4.87,0.35,32.0,0.18,12.0,134.0,11.2
PDL1_variant2025-11-25.0037.mqd,pdl1_175,Experimental Sample,1,17142,16558.0,96.6,16.2,4.89,0.3,24.0,0.14,30.9,153.0,4.95
PDL1_variant2025-11-25.0038.mqd,pdl1_239,Experimental Sample,1,15110,14944.0,98.9,40.5,5.03,0.12,23.0,0.15,41.3,122.0,2.95
PDL1_variant2025-11-25.0039.mqd,pdl1_378,Experimental Sample,1,14346,14176.0,98.8,35.0,5.35,0.15,15.0,0.11,59.5,131.0,2.2
PDL1_variant2025-11-25.0040.mqd,pdl1_020,Experimental Sample,1,16857,12802.0,75.9,8.43,5.35,0.63,29.0,0.23,16.8,132.0,7.85
PDL1_variant2025-11-25.0041.mqd,pdl1_060,Experimental Sample,1,19719,19126.0,97.0,18.7,4.74,0.25,42.0,0.22,48.7,123.0,2.52
PDL1_variant2025-11-25.0042.mqd,pdl1_100,Experimental Sample,1,18883,6951.0,36.8,8.22,5.31,0.65,20.0,0.29,11.8,130.0,10.9
PDL1_variant2025-11-25.0043.mqd,pdl1_123,Experimental Sample,1,15932,14520.0,91.1,9.98,4.97,0.5,40.0,0.28,23.5,148.0,6.28
PDL1_variant2025-11-25.0044.mqd,pdl1_188,Experimental Sample,1,16442,16129.0,98.1,19.8,5.06,0.25,52.0,0.32,47.2,130.0,2.75
