Sample Name,True Sample Name,Sample Type,Replicate,Cells/Singlets | Count,Cells/Singlets/a-FLAG_AF647(+) | Count,Cells/Singlets/a-FLAG_AF647(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+) | Geometric Mean (Ratio_AF488_AF647),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Count,Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Freq. of Parent (%),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (R1-A :: miRFP-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (B1-A :: AF488-A),Cells/Singlets/a-FLAG_AF647(+)/a-His_AF488(+) | Geometric Mean (Ratio_AF488_AF647)
IL7Ra_variant2025-11-25.0001.mqd,il7ra_009,Experimental Sample,1,21886,9443.0,43.1,3.97,5.71,1.44,61.0,0.65,8.83,166.0,18.8
IL7Ra_variant2025-11-25.0002.mqd,il7ra_123,Experimental Sample,1,22388,21997.0,98.3,21.4,4.69,0.22,60.0,0.27,47.1,165.0,3.51
IL7Ra_variant2025-11-25.0003.mqd,il7ra_183,Experimental Sample,1,20860,20658.0,99.0,34.1,4.87,0.14,59.0,0.29,74.4,178.0,2.4
IL7Ra_variant2025-11-25.0004.mqd,il7ra_265,Experimental Sample,1,24181,12449.0,51.5,5.64,5.12,0.91,76.0,0.61,8.42,180.0,21.4
IL7Ra_variant2025-11-25.0005.mqd,il7ra_355,Experimental Sample,1,25044,23005.0,91.9,9.03,4.6,0.51,60.0,0.26,12.7,179.0,14.2
IL7Ra_variant2025-11-25.0006.mqd,il7ra_428,Experimental Sample,1,22212,20770.0,93.5,11.0,4.65,0.42,61.0,0.29,39.4,207.0,5.25
IL7Ra_variant2025-11-25.0007.mqd,il7ra_495,Experimental Sample,1,19815,19417.0,98.0,21.8,4.98,0.23,54.0,0.28,94.6,162.0,1.71
IL7Ra_variant2025-11-25.0008.mqd,il7ra_023,Experimental Sample,1,26369,18685.0,70.9,4.91,4.85,0.99,47.0,0.25,7.45,170.0,22.8
IL7Ra_variant2025-11-25.0009.mqd,il7ra_129,Experimental Sample,1,22362,19101.0,85.4,7.45,5.08,0.68,47.0,0.25,17.6,153.0,8.71
IL7Ra_variant2025-11-25.0010.mqd,il7ra_189,Experimental Sample,1,19888,19531.0,98.2,18.4,4.97,0.27,45.0,0.23,58.6,189.0,3.21
IL7Ra_variant2025-11-25.0011.mqd,il7ra_280,Experimental Sample,1,21850,13231.0,60.6,4.67,5.33,1.14,45.0,0.34,16.1,181.0,11.3
IL7Ra_variant2025-11-25.0012.mqd,il7ra_358,Experimental Sample,1,20904,18327.0,87.7,7.17,4.96,0.69,38.0,0.21,14.6,171.0,11.7
IL7Ra_variant2025-11-25.0013.mqd,il7ra_437,Experimental Sample,1,19270,18801.0,97.6,16.9,4.78,0.28,48.0,0.26,36.2,196.0,5.41
IL7Ra_variant2025-11-25.0014.mqd,il7ra_034,Experimental Sample,1,19743,1253.0,6.35,5.09,7.71,1.52,54.0,4.31,3.04,177.0,58.2
IL7Ra_variant2025-11-25.0015.mqd,il7ra_133,Experimental Sample,1,17484,17259.0,98.7,24.6,5.06,0.21,63.0,0.37,35.9,186.0,5.18
IL7Ra_variant2025-11-25.0016.mqd,il7ra_230,Experimental Sample,1,20589,2520.0,12.2,3.12,5.72,1.84,55.0,2.18,3.35,184.0,54.8
IL7Ra_variant2025-11-25.0017.mqd,il7ra_284,Experimental Sample,1,17414,2999.0,17.2,3.24,8.41,2.59,68.0,2.27,5.06,168.0,33.2
IL7Ra_variant2025-11-25.0018.mqd,il7ra_376,Experimental Sample,1,20705,18505.0,89.4,7.54,4.89,0.65,64.0,0.35,9.05,182.0,20.2
IL7Ra_variant2025-11-25.0019.mqd,il7ra_438,Experimental Sample,1,16636,16334.0,98.2,19.2,5.23,0.27,56.0,0.34,47.0,174.0,3.69
IL7Ra_variant2025-11-25.0020.mqd,il7ra_038,Experimental Sample,1,20231,1199.0,5.93,5.69,6.85,1.2,41.0,3.42,3.55,187.0,52.6
